         12652241 function calls (12197605 primitive calls) in 142.911 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2008    0.977    0.000    0.977    0.000 {built-in method torch._C._cuda_emptyCache}
        4    0.000    0.000    0.957    0.239 module.py:823(to)
        1    0.000    0.000    0.948    0.948 DECA.py:3163(_create_model)
     2388    0.001    0.000    0.936    0.000 module.py:921(convert)
       32    0.001    0.000    0.927    0.029 dataloader.py:676(__next__)
     1006    0.001    0.000    0.925    0.001 format.py:187(can_read)
     1006    0.006    0.000    0.924    0.001 pillow.py:101(_can_read)
     2012    0.001    0.000    0.910    0.000 request.py:436(firstbytes)
     1006    0.004    0.000    0.909    0.001 request.py:445(_read_first_bytes)
  719/377    0.009    0.000    0.897    0.002 functions.py:283(get_call_type)
        3    0.000    0.000    0.889    0.296 DecaEncoder.py:77(__init__)
        3    0.000    0.000    0.889    0.296 DecaEncoder.py:36(__init__)
        3    0.000    0.000    0.873    0.291 DecaEncoder.py:89(_create_encoder)
        3    0.002    0.001    0.873    0.291 ResNet.py:175(load_ResNet50Model)
5352/2773    0.003    0.000    0.869    0.000 templates.py:343(apply)
      415    0.001    0.000    0.862    0.002 init.py:366(kaiming_uniform_)
103333/93482    0.345    0.000    0.860    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       32    0.000    0.000    0.858    0.027 dataloader.py:1329(_next_data)
      512    0.857    0.002    0.857    0.002 {method 'uniform_' of 'torch._C._TensorBase' objects}
       32    0.849    0.027    0.850    0.027 {built-in method posix.fork}
     1109    0.845    0.001    0.845    0.001 {built-in method io.open}
2289/1167    0.002    0.000    0.844    0.001 templates.py:592(generic)
2289/1167    0.002    0.000    0.842    0.001 templates.py:681(_get_impl)
    24/12    0.000    0.000    0.839    0.070 lowering.py:182(lower_normal_function)
  252/168    0.000    0.000    0.839    0.005 templates.py:694(_build_impl)
     4632    0.838    0.000    0.839    0.000 {built-in method torch.tensor}
      217    0.319    0.001    0.816    0.004 meshes.py:215(__init__)
     2012    0.003    0.000    0.811    0.000 request.py:302(get_file)
    24/12    0.000    0.000    0.765    0.064 lowering.py:196(lower_function_body)
   140/85    0.003    0.000    0.764    0.009 lowering.py:220(lower_block)
2030/1399    0.004    0.000    0.757    0.001 lowering.py:321(lower_inst)
     1667    0.755    0.000    0.755    0.000 {method 'float' of 'torch._C._TensorBase' objects}
       31    0.000    0.000    0.748    0.024 dataloader.py:1296(_get_data)
       31    0.000    0.000    0.748    0.024 dataloader.py:1150(_try_get_data)
       31    0.000    0.000    0.747    0.024 queues.py:92(get)
     1004    0.259    0.000    0.723    0.001 detect.py:47(get_predictions)
       31    0.027    0.001    0.710    0.023 lbs.py:142(lbs)
        1    0.000    0.000    0.638    0.638 DECA.py:2911(_create_model)
  886/620    0.001    0.000    0.617    0.001 lowering.py:492(lower_assign)
      982    0.005    0.000    0.611    0.001 _warps.py:692(_clip_warp_output)
    55369    0.604    0.000    0.604    0.000 {method 'copy' of 'numpy.ndarray' objects}
  477/342    0.001    0.000    0.603    0.002 lowering.py:997(lower_expr)
    10642    0.508    0.000    0.591    0.000 ffi.py:149(__call__)
      402    0.001    0.000    0.555    0.001 conv.py:425(__init__)
      402    0.002    0.000    0.552    0.001 conv.py:67(__init__)
22590/22587    0.002    0.000    0.541    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.540    0.540 asyncio.py:23(__init__)
      402    0.001    0.000    0.529    0.001 conv.py:140(reset_parameters)
    19651    0.508    0.000    0.508    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.508    0.508 DECA.py:3195(_reconfigure)
        1    0.000    0.000    0.508    0.508 DECA.py:2749(_reconfigure)
        2    0.000    0.000    0.502    0.251 DECA.py:2786(_init_deep_losses)
        1    0.000    0.000    0.501    0.501 DecaLosses.py:462(__init__)
        1    0.001    0.001    0.501    0.501 DecaLosses.py:423(__init__)
        1    0.000    0.000    0.500    0.500 vgg.py:438(vgg19)
        1    0.002    0.002    0.500    0.500 vgg.py:98(_vgg)
        3    0.000    0.000    0.494    0.165 resnet.py:698(resnet50)
        3    0.001    0.000    0.494    0.165 resnet.py:288(_resnet)
  311/245    0.000    0.000    0.470    0.002 base.py:1164(__call__)
  310/245    0.000    0.000    0.468    0.002 base.py:1193(wrapper)
   142/92    0.000    0.000    0.466    0.005 codegen.py:566(_ensure_finalized)
       24    0.000    0.000    0.466    0.019 codegen.py:673(finalize)
     1816    0.464    0.000    0.464    0.000 {built-in method torch.zeros}
    63266    0.217    0.000    0.451    0.000 {built-in method numpy.array}
     2649    0.440    0.000    0.440    0.000 {built-in method torch.cat}
   150950    0.184    0.000    0.438    0.000 PngImagePlugin.py:151(read)
    20/15    0.000    0.000    0.435    0.029 base.py:851(compile_subroutine)
     12/9    0.000    0.000    0.435    0.048 base.py:821(_compile_subroutine_no_cache)
       31    0.315    0.010    0.428    0.014 lbs.py:326(batch_rigid_transform)
      775    0.415    0.001    0.415    0.001 {method 'clone' of 'torch._C._TensorBase' objects}
       68    0.000    0.000    0.413    0.006 selectors.py:402(select)
       31    0.002    0.000    0.413    0.013 {built-in method _pickle.loads}
       68    0.412    0.006    0.412    0.006 {method 'poll' of 'select.poll' objects}
       12    0.000    0.000    0.411    0.034 cpu.py:197(get_executable)
     1004    0.411    0.000    0.411    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
       24    0.000    0.000    0.410    0.017 codegen.py:946(get_pointer_to_function)
       63    0.000    0.000    0.408    0.006 connection.py:917(wait)
       49    0.000    0.000    0.403    0.008 threading.py:834(start)
    17/12    0.000    0.000    0.403    0.034 base.py:880(compile_internal)
   126/99    0.000    0.000    0.401    0.004 lowering.py:736(lower_call)
      150    0.000    0.000    0.397    0.003 threading.py:270(wait)
       49    0.000    0.000    0.397    0.008 threading.py:540(wait)
   113/93    0.000    0.000    0.397    0.004 lowering.py:976(_lower_call_normal)
     12/9    0.000    0.000    0.390    0.043 compiler.py:673(compile_internal)
       31    0.000    0.000    0.390    0.013 reductions.py:296(rebuild_storage_fd)
       31    0.000    0.000    0.382    0.012 resource_sharer.py:55(detach)
        2    0.000    0.000    0.378    0.189 dataloader.py:1117(_reset)
       95    0.000    0.000    0.378    0.004 dataloader.py:1378(_try_put_index)
       94    0.000    0.000    0.377    0.004 queues.py:80(put)
       32    0.000    0.000    0.376    0.012 queues.py:158(_start_thread)
        3    0.001    0.000    0.364    0.121 resnet.py:167(__init__)
        3    0.001    0.000    0.356    0.119 ResNet.py:26(__init__)
     1006    0.001    0.000    0.351    0.000 format.py:241(__exit__)
     2012    0.002    0.000    0.351    0.000 format.py:252(close)
    50415    0.298    0.000    0.349    0.000 bbox.py:53(decode)
     1006    0.003    0.000    0.346    0.000 request.py:380(finish)
     1020    0.343    0.000    0.343    0.000 {method 'close' of '_io.BufferedReader' objects}
       31    0.042    0.001    0.338    0.011 DecaFLAME.py:108(_find_dynamic_lmk_idx_and_bcoords)
     1006    0.003    0.000    0.337    0.000 format.py:333(get_data)
       13    0.000    0.000    0.337    0.026 linear.py:90(__init__)
       13    0.000    0.000    0.335    0.026 linear.py:103(reset_parameters)
      982    0.054    0.000    0.333    0.000 utils.py:108(crop)
    28/24    0.000    0.000    0.329    0.014 functions.py:379(get_call_type)
        2    0.000    0.000    0.329    0.164 templates.py:1020(generic)
        3    0.000    0.000    0.329    0.110 templates.py:971(_get_signature)
       31    0.000    0.000    0.323    0.010 connection.py:253(poll)
       31    0.000    0.000    0.323    0.010 connection.py:423(_poll)
     7935    0.323    0.000    0.323    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     1006    0.004    0.000    0.322    0.000 pillow.py:300(_get_data)
        9    0.001    0.000    0.321    0.036 serialization.py:607(load)
     1006    0.003    0.000    0.317    0.000 pillow.py:167(_get_data)
     1006    0.003    0.000    0.312    0.000 pillow.py:698(pil_get_frame)
       62    0.142    0.002    0.310    0.005 lbs.py:279(batch_rodrigues)
        1    0.000    0.000    0.307    0.307 FaceVideoDataModule.py:3290(setup)
        1    0.000    0.000    0.307    0.307 ImageTestDataset_copy.py:38(__init__)
        1    0.000    0.000    0.302    0.302 vgg.py:36(__init__)
        1    0.000    0.000    0.298    0.298 DECA.py:2817(_setup_renderer)
       62    0.207    0.003    0.296    0.005 Renderer.py:305(add_SHlight)
        1    0.001    0.001    0.295    0.295 Renderer.py:175(__init__)
      318    0.290    0.001    0.290    0.001 {method 'normal_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.277    0.139 _serialization.py:87(load)
    52410    0.017    0.000    0.275    0.000 <__array_function__ internals>:177(concatenate)
     1103    0.266    0.000    0.266    0.000 {method 'cuda' of 'torch._C._TensorBase' objects}
       35    0.000    0.000    0.265    0.008 codegen.py:654(add_ir_module)
     2947    0.004    0.000    0.255    0.000 fromnumeric.py:51(_wrapfunc)
       24    0.000    0.000    0.247    0.010 codegen.py:720(_finalize_final_module)
      982    0.002    0.000    0.241    0.000 {method 'min' of 'numpy.ndarray' objects}
     1676    0.240    0.000    0.240    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
      982    0.001    0.000    0.240    0.000 _methods.py:42(_amin)
     1736    0.239    0.000    0.239    0.000 {method 'expand' of 'torch._C._TensorBase' objects}
        8    0.000    0.000    0.237    0.030 module.py:1534(load_state_dict)
   1259/8    0.003    0.000    0.237    0.030 module.py:1572(load)
     1964    0.002    0.000    0.236    0.000 {method 'max' of 'numpy.ndarray' objects}
      982    0.003    0.000    0.235    0.000 ImageDatasetHelpers.py:61(point2transform)
     1964    0.001    0.000    0.234    0.000 _methods.py:38(_amax)
      217    0.233    0.001    0.233    0.001 {method 'gather' of 'torch._C._TensorBase' objects}
     1259    0.075    0.000    0.232    0.000 module.py:1440(_load_from_state_dict)
        2    0.229    0.115    0.229    0.115 {built-in method torch.import_ir_module}
      982    0.005    0.000    0.227    0.000 _geometric.py:1552(estimate_transform)
     1006    0.004    0.000    0.226    0.000 Image.py:679(__array_interface__)
       31    0.000    0.000    0.224    0.007 resource_sharer.py:82(get_connection)
        6    0.000    0.000    0.224    0.037 hub.py:663(load_state_dict_from_url)
        1    0.200    0.200    0.222    0.222 DecaUtils.py:147(generate_triangles)
