         410628875 function calls (409984089 primitive calls) in 620.612 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1004    0.517    0.001    0.517    0.001 {cvtColor}
        2    0.000    0.000    0.511    0.256 DECA.py:2786(_init_deep_losses)
        1    0.000    0.000    0.510    0.510 DecaLosses.py:462(__init__)
        1    0.001    0.001    0.510    0.510 DecaLosses.py:423(__init__)
      402    0.001    0.000    0.510    0.001 conv.py:140(reset_parameters)
        1    0.000    0.000    0.509    0.509 vgg.py:438(vgg19)
        1    0.002    0.002    0.509    0.509 vgg.py:98(_vgg)
     7900    0.035    0.000    0.509    0.000 pathlib.py:1173(resolve)
     3928    0.010    0.000    0.503    0.000 functions.py:189(get_writer)
    40590    0.040    0.000    0.494    0.000 functional.py:2407(batch_norm)
     7922    0.014    0.000    0.493    0.000 Image.py:778(frombytes)
     9820    0.011    0.000    0.481    0.000 {method 'max' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.475    0.158 resnet.py:698(resnet50)
        3    0.001    0.000    0.475    0.158 resnet.py:288(_resnet)
  311/245    0.000    0.000    0.470    0.002 base.py:1164(__call__)
     9820    0.006    0.000    0.470    0.000 _methods.py:38(_amax)
  310/245    0.000    0.000    0.469    0.002 base.py:1193(wrapper)
   142/92    0.000    0.000    0.458    0.005 codegen.py:566(_ensure_finalized)
       24    0.000    0.000    0.458    0.019 codegen.py:673(finalize)
     5277    0.454    0.000    0.454    0.000 {built-in method torch.tensor}
    40590    0.435    0.000    0.435    0.000 {built-in method torch.batch_norm}
    20/15    0.000    0.000    0.433    0.029 base.py:851(compile_subroutine)
     12/9    0.000    0.000    0.433    0.048 base.py:821(_compile_subroutine_no_cache)
     3928    0.009    0.000    0.426    0.000 colorconv.py:131(_prepare_colorarray)
     3974    0.138    0.000    0.410    0.000 format.py:672(search_read_format)
       12    0.000    0.000    0.405    0.034 cpu.py:197(get_executable)
       24    0.000    0.000    0.404    0.017 codegen.py:946(get_pointer_to_function)
    17/12    0.000    0.000    0.403    0.034 base.py:880(compile_internal)
   126/99    0.000    0.000    0.401    0.004 lowering.py:736(lower_call)
   307780    0.172    0.000    0.399    0.000 PngImagePlugin.py:151(read)
   113/93    0.000    0.000    0.397    0.004 lowering.py:976(_lower_call_normal)
     3928    0.003    0.000    0.397    0.000 dtype.py:416(img_as_float64)
9202/7480    0.010    0.000    0.395    0.000 _jit_internal.py:413(fn)
      247    0.003    0.000    0.393    0.002 dataloader.py:676(__next__)
     12/9    0.000    0.000    0.390    0.043 compiler.py:673(compile_internal)
   927511    0.389    0.000    0.389    0.000 {method 'read' of '_io.BufferedReader' objects}
     9886    0.021    0.000    0.385    0.000 Image.py:2598(new)
    55976    0.032    0.000    0.376    0.000 functional.py:1446(relu)
      247    0.001    0.000    0.371    0.002 dataloader.py:1329(_next_data)
        3    0.001    0.000    0.356    0.119 resnet.py:167(__init__)
    50415    0.299    0.000    0.350    0.000 bbox.py:53(decode)
       13    0.000    0.000    0.347    0.027 linear.py:90(__init__)
        3    0.001    0.000    0.347    0.116 ResNet.py:26(__init__)
       13    0.000    0.000    0.346    0.027 linear.py:103(reset_parameters)
     2946    0.037    0.000    0.341    0.000 utils.py:499(safe_as_int)
        9    0.001    0.000    0.338    0.038 serialization.py:607(load)
      246    0.001    0.000    0.330    0.001 dataloader.py:1296(_get_data)
      246    0.001    0.000    0.330    0.001 dataloader.py:1150(_try_get_data)
      246    0.002    0.000    0.329    0.001 queues.py:92(get)
      982    0.055    0.000    0.328    0.000 utils.py:108(crop)
    55238    0.327    0.000    0.327    0.000 {built-in method torch.relu_}
     9886    0.327    0.000    0.327    0.000 {built-in method PIL._imaging.fill}
     1318    0.323    0.000    0.323    0.000 {method 'cuda' of 'torch._C._TensorBase' objects}
    12136    0.321    0.000    0.321    0.000 {built-in method torch.zeros}
    28/24    0.000    0.000    0.321    0.013 functions.py:379(get_call_type)
        2    0.000    0.000    0.320    0.160 templates.py:1020(generic)
        3    0.000    0.000    0.320    0.107 templates.py:971(_get_signature)
     2946    0.004    0.000    0.316    0.000 {method 'min' of 'numpy.ndarray' objects}
     2946    0.002    0.000    0.312    0.000 _methods.py:42(_amin)
     1722    0.003    0.000    0.306    0.000 _tensor.py:613(unique)
        1    0.000    0.000    0.306    0.306 ImageTestDataset_copy.py:38(__init__)
        1    0.000    0.000    0.303    0.303 vgg.py:36(__init__)
     1722    0.003    0.000    0.299    0.000 functional.py:845(_return_output)
      982    0.159    0.000    0.298    0.000 DecaUtils.py:665(plot_kpts)
     1722    0.002    0.000    0.296    0.000 functional.py:688(_unique_impl)
     7900    0.030    0.000    0.295    0.000 pathlib.py:317(resolve)
        1    0.000    0.000    0.295    0.295 DECA.py:2817(_setup_renderer)
     1722    0.294    0.000    0.294    0.000 {built-in method torch._unique2}
    11934    0.279    0.000    0.293    0.000 {built-in method io.open}
        1    0.000    0.000    0.292    0.292 Renderer.py:175(__init__)
      318    0.289    0.001    0.289    0.001 {method 'normal_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.287    0.144 dataloader.py:431(__iter__)
        2    0.000    0.000    0.287    0.144 dataloader.py:385(_get_iterator)
