         12683407 function calls (12228754 primitive calls) in 122.235 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     37/6    0.000    0.000    1.146    0.191 dispatcher.py:300(get_call_template)
   1500/5    0.010    0.000    1.089    0.218 module.py:577(_apply)
     1004    0.002    0.000    1.085    0.001 FaceDataModuleBase.py:110(_instantiate_detector)
       32    0.001    0.000    1.074    0.034 process.py:110(start)
       32    0.000    0.000    1.070    0.033 context.py:222(_Popen)
       32    0.000    0.000    1.069    0.033 context.py:274(_Popen)
       32    0.000    0.000    1.069    0.033 popen_fork.py:15(__init__)
    24/12    0.000    0.000    1.068    0.089 lowering.py:131(lower)
       32    0.002    0.000    1.067    0.033 popen_fork.py:66(_launch)
     2008    0.005    0.000    1.039    0.001 memory.py:109(empty_cache)
     2008    1.029    0.001    1.029    0.001 {built-in method torch._C._cuda_emptyCache}
     1006    0.042    0.000    1.023    0.001 format.py:672(search_read_format)
103333/93482    0.443    0.000    1.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        4    0.000    0.000    0.995    0.249 _utils.py:130(wrapper)
        4    0.000    0.000    0.995    0.249 _utils.py:171(inner_wrapper)
        2    0.000    0.000    0.985    0.492 sfd_detector.py:19(__init__)
     1006    0.001    0.000    0.956    0.001 format.py:187(can_read)
     1006    0.006    0.000    0.955    0.001 pillow.py:101(_can_read)
        1    0.000    0.000    0.945    0.945 DECA.py:3163(_create_model)
     2012    0.001    0.000    0.939    0.000 request.py:436(firstbytes)
     1006    0.004    0.000    0.938    0.001 request.py:445(_read_first_bytes)
        4    0.000    0.000    0.935    0.234 module.py:823(to)
     2388    0.001    0.000    0.916    0.000 module.py:921(convert)
       32    0.912    0.028    0.912    0.029 {built-in method posix.fork}
        3    0.000    0.000    0.887    0.296 DecaEncoder.py:77(__init__)
        3    0.000    0.000    0.887    0.296 DecaEncoder.py:36(__init__)
  719/377    0.009    0.000    0.886    0.002 functions.py:283(get_call_type)
    24/12    0.000    0.000    0.876    0.073 lowering.py:182(lower_normal_function)
    24/12    0.000    0.000    0.872    0.073 lowering.py:196(lower_function_body)
   140/85    0.003    0.000    0.871    0.010 lowering.py:220(lower_block)
        3    0.000    0.000    0.865    0.288 DecaEncoder.py:89(_create_encoder)
        3    0.004    0.001    0.865    0.288 ResNet.py:175(load_ResNet50Model)
2030/1399    0.004    0.000    0.864    0.001 lowering.py:321(lower_inst)
5352/2773    0.004    0.000    0.857    0.000 templates.py:343(apply)
     1109    0.851    0.001    0.851    0.001 {built-in method io.open}
      415    0.002    0.000    0.846    0.002 init.py:366(kaiming_uniform_)
      512    0.841    0.002    0.841    0.002 {method 'uniform_' of 'torch._C._TensorBase' objects}
     2012    0.004    0.000    0.839    0.000 request.py:302(get_file)
2289/1167    0.002    0.000    0.832    0.001 templates.py:592(generic)
2289/1167    0.002    0.000    0.830    0.001 templates.py:681(_get_impl)
  252/168    0.000    0.000    0.827    0.005 templates.py:694(_build_impl)
       31    0.005    0.000    0.780    0.025 Renderer.py:217(forward)
      982    0.213    0.000    0.763    0.001 DecaUtils.py:665(plot_kpts)
     1004    0.266    0.000    0.743    0.001 detect.py:47(get_predictions)
       31    0.000    0.000    0.728    0.023 DecaFLAME.py:285(forward)
      985    0.002    0.000    0.726    0.001 pathlib.py:1281(mkdir)
  886/620    0.001    0.000    0.723    0.001 lowering.py:492(lower_assign)
       31    0.002    0.000    0.720    0.023 DecaFLAME.py:222(forward)
  477/342    0.001    0.000    0.710    0.002 lowering.py:997(lower_expr)
     4632    0.682    0.000    0.682    0.000 {built-in method torch.tensor}
       31    0.004    0.000    0.657    0.021 lbs.py:142(lbs)
     1004    0.656    0.001    0.656    0.001 {method 'flip' of 'torch._C._TensorBase' objects}
      982    0.005    0.000    0.654    0.001 _warps.py:692(_clip_warp_output)
        1    0.000    0.000    0.642    0.642 DECA.py:2911(_create_model)
       31    0.598    0.019    0.616    0.020 lbs.py:326(batch_rigid_transform)
    10642    0.516    0.000    0.599    0.000 ffi.py:149(__call__)
  311/245    0.000    0.000    0.573    0.002 base.py:1164(__call__)
  310/245    0.000    0.000    0.571    0.002 base.py:1193(wrapper)
    19651    0.546    0.000    0.546    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      402    0.001    0.000    0.532    0.001 conv.py:425(__init__)
      402    0.002    0.000    0.528    0.001 conv.py:67(__init__)
       32    0.000    0.000    0.526    0.016 dataloader.py:676(__next__)
       32    0.000    0.000    0.520    0.016 dataloader.py:1329(_next_data)
        1    0.000    0.000    0.518    0.518 DECA.py:3195(_reconfigure)
        1    0.000    0.000    0.518    0.518 DECA.py:2749(_reconfigure)
        2    0.000    0.000    0.512    0.256 DECA.py:2786(_init_deep_losses)
        1    0.000    0.000    0.511    0.511 DecaLosses.py:462(__init__)
        1    0.001    0.001    0.511    0.511 DecaLosses.py:423(__init__)
        1    0.000    0.000    0.509    0.509 vgg.py:438(vgg19)
        1    0.002    0.002    0.509    0.509 vgg.py:98(_vgg)
      402    0.001    0.000    0.504    0.001 conv.py:140(reset_parameters)
    55369    0.504    0.000    0.504    0.000 {method 'copy' of 'numpy.ndarray' objects}
   126/99    0.001    0.000    0.503    0.005 lowering.py:736(lower_call)
   113/93    0.000    0.000    0.499    0.005 lowering.py:976(_lower_call_normal)
22589/22586    0.002    0.000    0.499    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.497    0.497 asyncio.py:23(__init__)
        3    0.000    0.000    0.485    0.162 resnet.py:698(resnet50)
        3    0.001    0.000    0.485    0.162 resnet.py:288(_resnet)
       31    0.000    0.000    0.477    0.015 dataloader.py:1296(_get_data)
       31    0.000    0.000    0.477    0.015 dataloader.py:1150(_try_get_data)
       31    0.000    0.000    0.477    0.015 queues.py:92(get)
   142/92    0.000    0.000    0.473    0.005 codegen.py:566(_ensure_finalized)
       24    0.000    0.000    0.473    0.020 codegen.py:673(finalize)
    63266    0.225    0.000    0.471    0.000 {built-in method numpy.array}
    20/15    0.000    0.000    0.455    0.030 base.py:851(compile_subroutine)
     12/9    0.000    0.000    0.455    0.051 base.py:821(_compile_subroutine_no_cache)
   150950    0.188    0.000    0.452    0.000 PngImagePlugin.py:151(read)
       31    0.001    0.000    0.438    0.014 DecaDecoder.py:60(forward)
