         18469628 function calls (17697675 primitive calls) in 179.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      245    0.034    0.000    3.196    0.013 DecaFLAME.py:222(forward)
       34    0.001    0.000    3.072    0.090 cpu.py:225(get_executable)
       34    0.000    0.000    3.063    0.090 codegen.py:975(get_pointer_to_function)
     1715    0.136    0.000    3.036    0.002 rasterize_meshes.py:29(rasterize_meshes)
    46/28    0.000    0.000    3.010    0.107 lowering.py:233(lower_normal_function)
    46/28    0.001    0.000    2.985    0.107 lowering.py:250(lower_function_body)
  162/104    0.008    0.000    2.983    0.029 lowering.py:275(lower_block)
2292/1615    0.014    0.000    2.960    0.002 lowering.py:457(lower_inst)
        2    0.000    0.000    2.846    1.423 FaceDetector.py:77(__init__)
        2    0.000    0.000    2.846    1.423 api.py:54(__init__)
 1017/725    0.004    0.000    2.667    0.004 lowering.py:665(lower_assign)
  531/388    0.004    0.000    2.621    0.007 lowering.py:1185(lower_expr)
39192/29167    0.480    0.000    2.560    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        4    0.000    0.000    2.523    0.631 _utils.py:130(wrapper)
        4    0.000    0.000    2.523    0.631 _utils.py:171(inner_wrapper)
        1    0.000    0.000    2.519    2.519 DECA.py:2777(_reinitialize)
       40    0.002    0.000    2.489    0.062 process.py:110(start)
       40    0.001    0.000    2.485    0.062 context.py:222(_Popen)
       40    0.001    0.000    2.484    0.062 context.py:274(_Popen)
       40    0.001    0.000    2.482    0.062 popen_fork.py:15(__init__)
       40    0.002    0.000    2.480    0.062 popen_fork.py:66(_launch)
       40    2.453    0.061    2.454    0.061 {built-in method posix.fork}
     5145    0.140    0.000    2.424    0.000 meshes.py:957(_compute_packed)
     4159    2.421    0.001    2.421    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
     1004    0.002    0.000    2.421    0.002 FaceDataModuleBase.py:110(_instantiate_detector)
     1715    0.007    0.000    2.417    0.001 meshes.py:554(verts_packed)
    53818    0.163    0.000    2.408    0.000 activation.py:97(forward)
     1982    2.300    0.001    2.300    0.001 {resize}
    16064    0.521    0.000    2.265    0.000 net_blazeface.py:32(forward)
    53818    0.143    0.000    2.245    0.000 functional.py:1446(relu)
     1004    0.009    0.000    2.134    0.002 utils.py:37(resize_and_crop_image)
     1004    0.006    0.000    2.125    0.002 utils.py:5(image_resize)
      246    0.011    0.000    2.123    0.009 {built-in method _pickle.loads}
      245    0.003    0.000    2.082    0.008 reductions.py:296(rebuild_storage_fd)
      245    0.001    0.000    2.060    0.008 resource_sharer.py:55(detach)
        1    0.000    0.000    1.995    1.995 DECA.py:3163(_create_model)
     4286    1.975    0.000    1.979    0.000 {built-in method torch.tensor}
        2    0.000    0.000    1.945    0.972 blazeface_detector.py:18(__init__)
      245    0.003    0.000    1.925    0.008 resource_sharer.py:82(get_connection)
        3    0.000    0.000    1.922    0.641 DecaEncoder.py:77(__init__)
        3    0.000    0.000    1.922    0.641 DecaEncoder.py:36(__init__)
      427    0.002    0.000    1.916    0.004 init.py:366(kaiming_uniform_)
      536    1.907    0.004    1.907    0.004 {method 'uniform_' of 'torch._C._TensorBase' objects}
      245    0.002    0.000    1.904    0.008 connection.py:493(Client)
      828    0.001    0.000    1.892    0.002 popen_fork.py:24(poll)
        2    0.000    0.000    1.892    0.946 net_blazeface.py:226(load_anchors_from_npy)
      822    1.892    0.002    1.892    0.002 {built-in method posix.waitpid}
        3    0.000    0.000    1.886    0.629 DecaEncoder.py:89(_create_encoder)
        3    0.001    0.000    1.886    0.629 ResNet.py:175(load_ResNet50Model)
    53083    1.875    0.000    1.875    0.000 {built-in method torch.relu_}
  344/268    0.001    0.000    1.802    0.007 base.py:1186(__call__)
  343/268    0.001    0.000    1.797    0.007 base.py:1215(wrapper)
      245    0.248    0.001    1.786    0.007 lbs.py:142(lbs)
   563501    1.769    0.000    1.771    0.000 module.py:1194(__getattr__)
      978    0.913    0.001    1.765    0.002 DecaUtils.py:665(plot_kpts)
     1975    1.743    0.001    1.743    0.001 {built-in method posix.read}
      980    0.003    0.000    1.721    0.002 connection.py:208(recv_bytes)
      980    0.003    0.000    1.718    0.002 connection.py:413(_recv_bytes)
     1960    0.005    0.000    1.713    0.001 connection.py:374(_recv)
       47    0.001    0.000    1.682    0.036 codegen.py:781(_finalize_final_module)
    36/29    0.000    0.000    1.668    0.058 base.py:844(compile_subroutine)
     12/9    0.001    0.000    1.666    0.185 base.py:806(_compile_subroutine_no_cache)
      245    0.002    0.000    1.613    0.007 connection.py:747(answer_challenge)
  152/119    0.002    0.000    1.605    0.013 lowering.py:915(lower_call)
  139/113    0.002    0.000    1.592    0.014 lowering.py:1157(_lower_call_normal)
    33/26    0.000    0.000    1.563    0.060 base.py:873(compile_internal)
      978    0.017    0.000    1.524    0.002 _warps.py:640(_clip_warp_output)
        1    0.000    0.000    1.520    1.520 DECA.py:3195(_reconfigure)
        1    0.000    0.000    1.520    1.520 DECA.py:2749(_reconfigure)
        2    0.000    0.000    1.503    0.752 DECA.py:2786(_init_deep_losses)
        1    0.000    0.000    1.502    1.502 DecaLosses.py:462(__init__)
        1    0.033    0.033    1.502    1.502 DecaLosses.py:423(__init__)
        3    0.000    0.000    1.499    0.500 dataloader.py:1431(_shutdown_workers)
     12/9    0.000    0.000    1.486    0.165 compiler.py:837(compile_internal)
       47    0.001    0.000    1.474    0.031 codegen.py:667(_optimize_final_module)
       94    0.001    0.000    1.472    0.016 passmanagers.py:668(run)
        1    0.000    0.000    1.468    1.468 vgg.py:438(vgg19)
        1    0.026    0.026    1.468    1.468 vgg.py:98(_vgg)
       47    0.000    0.000    1.440    0.031 codegen.py:996(_finalize_specific)
        1    0.000    0.000    1.371    1.371 DECA.py:2911(_create_model)
       83    0.000    0.000    1.339    0.016 codegen.py:1058(wrapper)
       47    0.000    0.000    1.336    0.028 executionengine.py:87(finalize_object)
    36/30    0.000    0.000    1.297    0.043 functions.py:389(get_call_type)
    15/12    0.000    0.000    1.297    0.108 templates.py:1076(_get_signature)
     10/8    0.000    0.000    1.296    0.162 templates.py:1134(generic)
     2008    0.005    0.000    1.172    0.001 memory.py:109(empty_cache)
     2008    1.161    0.001    1.161    0.001 {built-in method torch._C._cuda_emptyCache}
     3938    1.160    0.000    1.160    0.000 {method 'copy' of 'numpy.ndarray' objects}
    19573    1.155    0.000    1.155    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8810    0.029    0.000    1.149    0.000 fromnumeric.py:69(_wrapreduction)
     1715    0.435    0.000    1.137    0.001 meshes.py:215(__init__)
     1004    0.184    0.000    1.111    0.001 net_blazeface.py:303(_tensors_to_detections)
   145920    0.247    0.000    1.098    0.000 PngImagePlugin.py:953(load_read)
     3430    0.606    0.000    1.078    0.000 utils.py:117(list_to_packed)
     1006    0.012    0.000    1.056    0.001 imopen.py:15(imopen)
        3    0.000    0.000    1.054    0.351 resnet.py:698(resnet50)
        3    0.001    0.000    1.054    0.351 resnet.py:288(_resnet)
3521/3456    0.019    0.000    1.014    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
      414    0.002    0.000    1.010    0.002 conv.py:425(__init__)
      414    0.005    0.000    1.004    0.002 conv.py:67(__init__)
       13    0.000    0.000    0.962    0.074 linear.py:90(__init__)
       13    0.000    0.000    0.961    0.074 linear.py:103(reset_parameters)
      414    0.002    0.000    0.959    0.002 conv.py:140(reset_parameters)
