         16209533 function calls (15578171 primitive calls) in 117.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    1.134    0.019    1.135    0.019 {method 'poll' of 'select.poll' objects}
       13    0.000    0.000    1.116    0.086 linear.py:90(__init__)
       13    0.000    0.000    1.115    0.086 linear.py:103(reset_parameters)
       48    0.001    0.000    1.104    0.023 connection.py:917(wait)
     1006    0.013    0.000    1.066    0.001 imopen.py:15(imopen)
       16    0.002    0.000    1.043    0.065 DECA.py:469(encode)
       48    0.000    0.000    1.023    0.021 DecaEncoder.py:59(forward)
       48    0.000    0.000    1.003    0.021 DecaEncoder.py:50(forward_features)
       48    0.002    0.000    1.002    0.021 ResNet.py:66(forward)
     1004    0.975    0.001    0.995    0.001 net_blazeface.py:347(_decode_boxes)
        1    0.000    0.000    0.995    0.995 vgg.py:36(__init__)
3521/3456    0.019    0.000    0.969    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
       12    0.000    0.000    0.930    0.077 ResNet.py:49(_make_layer)
      318    0.913    0.003    0.913    0.003 {method 'normal_' of 'torch._C._TensorBase' objects}
        6    0.000    0.000    0.896    0.149 hub.py:663(load_state_dict_from_url)
      768    0.027    0.000    0.888    0.001 ResNet.py:100(forward)
        4    0.000    0.000    0.888    0.222 _api.py:62(get_state_dict)
       77    0.001    0.000    0.881    0.011 codegen.py:723(add_ir_module)
2131/2066    0.008    0.000    0.880    0.000 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1006    0.023    0.000    0.880    0.001 pillow.py:71(__init__)
      112    0.027    0.000    0.878    0.008 Renderer.py:141(forward)
       48    0.001    0.000    0.860    0.018 ResNet.py:87(__init__)
       17    0.001    0.000    0.843    0.050 dataloader.py:676(__next__)
       17    0.001    0.000    0.838    0.049 dataloader.py:1329(_next_data)
       16    0.001    0.000    0.826    0.052 DECA.py:370(_encode_flame)
        2    0.000    0.000    0.819    0.410 _serialization.py:87(load)
       16    0.000    0.000    0.812    0.051 DECA.py:3204(_encode_flame)
     2966    0.760    0.000    0.760    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
      112    0.010    0.000    0.746    0.007 rasterize_meshes.py:29(rasterize_meshes)
      978    0.385    0.000    0.730    0.001 DecaUtils.py:665(plot_kpts)
        9    0.014    0.002    0.728    0.081 {method 'load' of '_pickle.Unpickler' objects}
     2938    0.006    0.000    0.724    0.000 <__array_function__ internals>:177(amin)
        4    0.000    0.000    0.723    0.181 serialization.py:989(_load)
     2938    0.009    0.000    0.711    0.000 fromnumeric.py:2829(amin)
        1    0.000    0.000    0.710    0.710 linalg.py:547(_dot2_codegen)
        1    0.000    0.000    0.710    0.710 linalg.py:482(dot_2_mv)
        2    0.688    0.344    0.688    0.344 {built-in method torch.import_ir_module}
     1873    0.005    0.000    0.688    0.000 serialization.py:1004(persistent_load)
     2938    0.005    0.000    0.685    0.000 <__array_function__ internals>:177(amax)
     1873    0.659    0.000    0.679    0.000 serialization.py:994(load_tensor)
     2938    0.006    0.000    0.675    0.000 fromnumeric.py:2703(amax)
       16    0.000    0.000    0.671    0.042 DECA.py:3028(_encode_flame)
      336    0.010    0.000    0.666    0.002 meshes.py:957(_compute_packed)
      112    0.001    0.000    0.665    0.006 meshes.py:554(verts_packed)
1530145/1488316    0.224    0.000    0.662    0.000 {built-in method builtins.isinstance}
     3922    0.010    0.000    0.650    0.000 <__array_function__ internals>:177(concatenate)
        3    0.001    0.000    0.649    0.216 dataloader.py:1431(_shutdown_workers)
       32    0.000    0.000    0.642    0.020 process.py:142(join)
       32    0.000    0.000    0.642    0.020 popen_fork.py:40(wait)
      978    0.118    0.000    0.639    0.001 utils.py:108(crop)
       12    0.000    0.000    0.614    0.051 resnet.py:225(_make_layer)
        3    0.000    0.000    0.600    0.200 arrayobj.py:2225(array_ravel)
  524/278    0.001    0.000    0.588    0.002 base.py:261(refresh)
        5    0.001    0.000    0.568    0.114 serialization.py:733(_legacy_load)
     2935    0.008    0.000    0.567    0.000 fromnumeric.py:51(_wrapfunc)
       46    0.001    0.000    0.567    0.012 compiler.py:413(__init__)
     1088    0.567    0.001    0.567    0.001 {method 'cuda' of 'torch._C._TensorBase' objects}
      188    0.560    0.003    0.560    0.003 {method '_set_from_file' of 'torch._C.StorageBase' objects}
      224    0.362    0.002    0.550    0.002 utils.py:117(list_to_packed)
        1    0.001    0.001    0.550    0.550 DECA.py:2817(_setup_renderer)
       48    0.001    0.000    0.544    0.011 resnet.py:117(__init__)
   474177    0.544    0.000    0.544    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.539    0.539 Renderer.py:175(__init__)
      978    0.005    0.000    0.531    0.001 ImageDatasetHelpers.py:61(point2transform)
      524    0.010    0.000    0.521    0.001 cpu.py:60(load_additional_registries)
     1303    0.004    0.000    0.517    0.000 pprint.py:55(pformat)
      978    0.011    0.000    0.516    0.001 _geometric.py:1624(estimate_transform)
     1303    0.003    0.000    0.511    0.000 pprint.py:151(pformat)
       16    0.000    0.000    0.509    0.032 dataloader.py:1296(_get_data)
       16    0.000    0.000    0.509    0.032 dataloader.py:1150(_try_get_data)
       16    0.001    0.000    0.509    0.032 queues.py:92(get)
30400/1303    0.043    0.000    0.505    0.000 pprint.py:163(_format)
   1614/5    0.016    0.000    0.498    0.100 module.py:577(_apply)
    41779    0.068    0.000    0.497    0.000 module.py:1210(__setattr__)
    12798    0.472    0.000    0.488    0.000 {built-in method numpy.array}
        8    0.001    0.000    0.485    0.061 module.py:1534(load_state_dict)
   1373/8    0.005    0.000    0.485    0.061 module.py:1572(load)
28071/27862    0.030    0.000    0.482    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   157987    0.211    0.000    0.481    0.000 PngImagePlugin.py:160(read)
      978    0.007    0.000    0.476    0.000 _geometric.py:1399(estimate)
     1373    0.139    0.000    0.475    0.000 module.py:1440(_load_from_state_dict)
       16    0.000    0.000    0.475    0.030 connection.py:253(poll)
       16    0.000    0.000    0.475    0.030 connection.py:423(_poll)
      159    0.001    0.000    0.469    0.003 init.py:415(kaiming_normal_)
     2077    0.017    0.000    0.461    0.000 module.py:254(__init__)
        1    0.000    0.000    0.449    0.449 FaceVideoDataModule.py:3290(setup)
        1    0.000    0.000    0.449    0.449 ImageTestDataset_copy.py:38(__init__)
      978    0.090    0.000    0.449    0.000 _geometric.py:93(_umeyama)
   180/54    0.000    0.000    0.444    0.008 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   114/52    0.001    0.000    0.444    0.009 <frozen importlib._bootstrap>:650(_load_unlocked)
   113/52    0.000    0.000    0.442    0.008 <frozen importlib._bootstrap_external>:837(exec_module)
     2130    0.028    0.000    0.431    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    69/46    0.000    0.000    0.427    0.009 {built-in method builtins.__import__}
   241/55    0.007    0.000    0.425    0.008 {built-in method builtins.exec}
      235    0.001    0.000    0.414    0.002 module.py:233(__repr__)
        1    0.000    0.000    0.409    0.409 cloud_io.py:25(load)
      978    0.003    0.000    0.409    0.000 <__array_function__ internals>:177(clip)
      235    0.001    0.000    0.408    0.002 module.py:207(_get_body_lines)
      235    0.002    0.000    0.407    0.002 module.py:212(<listcomp>)
    15124    0.406    0.000    0.406    0.000 {built-in method torch.nn.functional.pad}
      978    0.004    0.000    0.400    0.000 fromnumeric.py:2111(clip)
152322/76195    0.126    0.000    0.393    0.000 {method 'format' of 'str' objects}
      978    0.002    0.000    0.393    0.000 {method 'clip' of 'numpy.ndarray' objects}
      712    0.001    0.000    0.391    0.001 values.py:1013(__str__)
      414    0.007    0.000    0.391    0.001 postproc.py:71(run)
      978    0.006    0.000    0.390    0.000 _methods.py:127(_clip)
      978    0.387    0.000    0.390    0.000 utils.py:206(_get_preds_fromhm)
      712    0.001    0.000    0.389    0.001 values.py:1006(descr)
    41549    0.370    0.000    0.383    0.000 parameter.py:9(__instancecheck__)
        1    0.000    0.000    0.377    0.377 DECA.py:347(cuda)
        1    0.000    0.000    0.377    0.377 device_dtype_mixin.py:111(cuda)
        1    0.000    0.000    0.374    0.374 module.py:672(cuda)
     2130    0.003    0.000    0.369    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
     2130    0.030    0.000    0.366    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
       16    0.001    0.000    0.365    0.023 DecaDecoder.py:60(forward)
       16    0.004    0.000    0.361    0.023 Renderer.py:217(forward)
     1072    0.001    0.000    0.360    0.000 module.py:689(<lambda>)
      978    0.359    0.000    0.359    0.000 _methods.py:108(_clip_dep_invoke_with_casting)
     1004    0.117    0.000    0.358    0.000 net_blazeface.py:377(_weighted_non_max_suppression)
       85    0.001    0.000    0.350    0.004 values.py:999(descr_body)
     1846    0.003    0.000    0.350    0.000 values.py:1172(descr)
     2012    0.019    0.000    0.349    0.000 Image.py:3375(open)
83853/35066    0.049    0.000    0.347    0.000 _utils.py:44(__str__)
     1846    0.007    0.000    0.342    0.000 values.py:1174(<listcomp>)
    19084    0.341    0.000    0.341    0.000 {method 'encode' of 'ImagingEncoder' objects}
     1939    0.007    0.000    0.341    0.000 context.py:360(_call_incref_decref)
    49044    0.063    0.000    0.336    0.000 event.py:209(broadcast)
      994    0.003    0.000    0.329    0.000 extending.py:129(decorate)
        1    0.000    0.000    0.329    0.329 charseq.py:1(<module>)
        1    0.277    0.277    0.329    0.329 DecaUtils.py:147(generate_triangles)
       28    0.000    0.000    0.323    0.012 lowering.py:301(create_cfunc_wrapper)
        1    0.000    0.000    0.323    0.323 unicode.py:1(<module>)
       28    0.001    0.000    0.323    0.012 cpu.py:193(create_cfunc_wrapper)
      978    0.003    0.000    0.323    0.000 <__array_function__ internals>:177(dstack)
