         16247050 function calls (15615716 primitive calls) in 246.871 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3521/3456    0.020    0.000    0.862    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
       24    0.001    0.000    0.847    0.035 connection.py:917(wait)
        2    0.000    0.000    0.819    0.410 _serialization.py:87(load)
     2938    0.006    0.000    0.796    0.000 <__array_function__ internals>:177(amin)
     2938    0.009    0.000    0.783    0.000 fromnumeric.py:2829(amin)
      318    0.782    0.002    0.782    0.002 {method 'normal_' of 'torch._C._TensorBase' objects}
       16    0.000    0.000    0.773    0.048 DECA.py:3028(_encode_flame)
2131/2066    0.008    0.000    0.773    0.000 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     2938    0.005    0.000    0.755    0.000 <__array_function__ internals>:177(amax)
      112    0.008    0.000    0.750    0.007 rasterize_meshes.py:29(rasterize_meshes)
     2938    0.006    0.000    0.744    0.000 fromnumeric.py:2703(amax)
        6    0.000    0.000    0.741    0.123 hub.py:663(load_state_dict_from_url)
        4    0.000    0.000    0.732    0.183 _api.py:62(get_state_dict)
        1    0.000    0.000    0.724    0.724 linalg.py:547(_dot2_codegen)
        1    0.000    0.000    0.724    0.724 linalg.py:482(dot_2_mv)
        2    0.000    0.000    0.706    0.353 dataloader.py:431(__iter__)
        2    0.000    0.000    0.706    0.353 dataloader.py:385(_get_iterator)
        2    0.001    0.000    0.706    0.353 dataloader.py:1037(__init__)
      978    0.370    0.000    0.706    0.001 DecaUtils.py:665(plot_kpts)
       17    0.001    0.000    0.705    0.041 dataloader.py:676(__next__)
       17    0.001    0.000    0.699    0.041 dataloader.py:1329(_next_data)
        8    0.000    0.000    0.690    0.086 process.py:110(start)
        8    0.000    0.000    0.690    0.086 context.py:222(_Popen)
        8    0.000    0.000    0.690    0.086 context.py:274(_Popen)
        8    0.000    0.000    0.689    0.086 popen_fork.py:15(__init__)
        8    0.011    0.001    0.689    0.086 popen_fork.py:66(_launch)
        2    0.688    0.344    0.688    0.344 {built-in method torch.import_ir_module}
        8    0.677    0.085    0.677    0.085 {built-in method posix.fork}
      336    0.009    0.000    0.676    0.002 meshes.py:957(_compute_packed)
      112    0.001    0.000    0.675    0.006 meshes.py:554(verts_packed)
      978    0.117    0.000    0.633    0.001 utils.py:108(crop)
     3938    0.626    0.000    0.626    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2935    0.009    0.000    0.573    0.000 fromnumeric.py:51(_wrapfunc)
