         56068148 function calls (55429905 primitive calls) in 189.374 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  139/113    0.002    0.000    1.549    0.014 lowering.py:1157(_lower_call_normal)
     6872    1.541    0.000    1.541    0.000 {method 'copy' of 'numpy.ndarray' objects}
    33/26    0.000    0.000    1.523    0.059 base.py:873(compile_internal)
     2008    0.006    0.000    1.474    0.001 memory.py:109(empty_cache)
     2008    1.461    0.001    1.461    0.001 {built-in method torch._C._cuda_emptyCache}
     12/9    0.000    0.000    1.443    0.160 compiler.py:837(compile_internal)
       47    0.000    0.000    1.437    0.031 codegen.py:996(_finalize_specific)
        3    0.001    0.000    1.429    0.476 resnet.py:167(__init__)
       47    0.001    0.000    1.412    0.030 codegen.py:667(_optimize_final_module)
       94    0.000    0.000    1.411    0.015 passmanagers.py:668(run)
    19573    1.389    0.000    1.389    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8810    0.033    0.000    1.384    0.000 fromnumeric.py:69(_wrapreduction)
       16    0.001    0.000    1.352    0.085 DecaFLAME.py:285(forward)
       16    0.003    0.000    1.348    0.084 DecaFLAME.py:222(forward)
       83    0.000    0.000    1.337    0.016 codegen.py:1058(wrapper)
       47    0.000    0.000    1.335    0.028 executionengine.py:87(finalize_object)
        2    0.000    0.000    1.325    0.663 dataloader.py:431(__iter__)
        2    0.000    0.000    1.325    0.663 dataloader.py:385(_get_iterator)
        2    0.001    0.001    1.325    0.663 dataloader.py:1037(__init__)
     1004    0.223    0.000    1.320    0.001 net_blazeface.py:303(_tensors_to_detections)
       16    0.003    0.000    1.309    0.082 lbs.py:142(lbs)
        8    0.001    0.000    1.301    0.163 process.py:110(start)
        8    0.000    0.000    1.300    0.163 context.py:222(_Popen)
        8    0.000    0.000    1.300    0.163 context.py:274(_Popen)
    36/30    0.000    0.000    1.300    0.043 functions.py:389(get_call_type)
        8    0.000    0.000    1.300    0.162 popen_fork.py:15(__init__)
        8    0.010    0.001    1.299    0.162 popen_fork.py:66(_launch)
    15/12    0.000    0.000    1.299    0.108 templates.py:1076(_get_signature)
      414    0.002    0.000    1.298    0.003 conv.py:425(__init__)
     10/8    0.000    0.000    1.298    0.162 templates.py:1134(generic)
      414    0.006    0.000    1.290    0.003 conv.py:67(__init__)
        8    1.288    0.161    1.288    0.161 {built-in method posix.fork}
       16    1.271    0.079    1.280    0.080 lbs.py:326(batch_rigid_transform)
      414    0.002    0.000    1.233    0.003 conv.py:140(reset_parameters)
     5900    1.210    0.000    1.210    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
        9    0.002    0.000    1.209    0.134 serialization.py:607(load)
       16    0.002    0.000    1.180    0.074 DECA.py:469(encode)
   145920    0.237    0.000    1.178    0.000 PngImagePlugin.py:953(load_read)
       48    0.000    0.000    1.153    0.024 DecaEncoder.py:59(forward)
       48    0.000    0.000    1.133    0.024 DecaEncoder.py:50(forward_features)
       48    0.002    0.000    1.132    0.024 ResNet.py:66(forward)
       35    0.001    0.000    1.092    0.031 selectors.py:402(select)
       35    1.092    0.031    1.092    0.031 {method 'poll' of 'select.poll' objects}
       13    0.000    0.000    1.090    0.084 linear.py:90(__init__)
