         16235904 function calls (15604546 primitive calls) in 193.677 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.000    2.818    1.409 api.py:54(__init__)
      978    1.528    0.002    2.778    0.003 DecaUtils.py:665(plot_kpts)
       48    0.001    0.000    2.765    0.058 DecaEncoder.py:59(forward)
       48    0.000    0.000    2.693    0.056 DecaEncoder.py:50(forward_features)
       48    0.003    0.000    2.691    0.056 ResNet.py:66(forward)
 1017/725    0.004    0.000    2.605    0.004 lowering.py:665(lower_assign)
  531/388    0.004    0.000    2.557    0.007 lowering.py:1185(lower_expr)
        1    0.000    0.000    2.547    2.547 DECA.py:2777(_reinitialize)
     1004    0.002    0.000    2.478    0.002 FaceDataModuleBase.py:110(_instantiate_detector)
     1982    2.474    0.001    2.474    0.001 {resize}
        4    0.000    0.000    2.334    0.583 _utils.py:130(wrapper)
        4    0.000    0.000    2.334    0.583 _utils.py:171(inner_wrapper)
      768    0.037    0.000    2.317    0.003 ResNet.py:100(forward)
     1004    0.008    0.000    2.297    0.002 utils.py:37(resize_and_crop_image)
     1004    0.006    0.000    2.289    0.002 utils.py:5(image_resize)
    16064    0.508    0.000    2.243    0.000 net_blazeface.py:32(forward)
        1    0.000    0.000    2.018    2.018 DECA.py:3163(_create_model)
        2    0.000    0.000    1.986    0.993 blazeface_detector.py:18(__init__)
     3599    1.965    0.001    1.970    0.001 {built-in method torch.tensor}
        3    0.000    0.000    1.944    0.648 DecaEncoder.py:77(__init__)
        3    0.000    0.000    1.944    0.648 DecaEncoder.py:36(__init__)
        2    0.000    0.000    1.937    0.969 net_blazeface.py:226(load_anchors_from_npy)
        3    0.000    0.000    1.905    0.635 DecaEncoder.py:89(_create_encoder)
        3    0.010    0.003    1.904    0.635 ResNet.py:175(load_ResNet50Model)
       16    0.002    0.000    1.860    0.116 DECA.py:370(_encode_flame)
       16    0.000    0.000    1.837    0.115 DECA.py:3204(_encode_flame)
  344/268    0.001    0.000    1.780    0.007 base.py:1186(__call__)
  343/268    0.001    0.000    1.776    0.007 base.py:1215(wrapper)
       16    0.006    0.000    1.744    0.109 Renderer.py:217(forward)
       47    0.001    0.000    1.724    0.037 codegen.py:781(_finalize_final_module)
      427    0.002    0.000    1.722    0.004 init.py:366(kaiming_uniform_)
      536    1.713    0.003    1.713    0.003 {method 'uniform_' of 'torch._C._TensorBase' objects}
    36/29    0.000    0.000    1.641    0.057 base.py:844(compile_subroutine)
     12/9    0.001    0.000    1.640    0.182 base.py:806(_compile_subroutine_no_cache)
  152/119    0.002    0.000    1.584    0.013 lowering.py:915(lower_call)
  139/113    0.002    0.000    1.572    0.014 lowering.py:1157(_lower_call_normal)
    33/26    0.000    0.000    1.545    0.059 base.py:873(compile_internal)
       47    0.000    0.000    1.478    0.031 codegen.py:996(_finalize_specific)
      978    0.015    0.000    1.469    0.002 _warps.py:640(_clip_warp_output)
     12/9    0.000    0.000    1.456    0.162 compiler.py:837(compile_internal)
       47    0.001    0.000    1.440    0.031 codegen.py:667(_optimize_final_module)
       94    0.001    0.000    1.438    0.015 passmanagers.py:668(run)
       83    0.000    0.000    1.373    0.017 codegen.py:1058(wrapper)
       47    0.000    0.000    1.371    0.029 executionengine.py:87(finalize_object)
       16    0.000    0.000    1.369    0.086 DECA.py:3028(_encode_flame)
        1    0.000    0.000    1.343    1.343 DECA.py:2911(_create_model)
    36/30    0.000    0.000    1.340    0.045 functions.py:389(get_call_type)
    15/12    0.000    0.000    1.340    0.112 templates.py:1076(_get_signature)
     10/8    0.000    0.000    1.338    0.167 templates.py:1134(generic)
     3922    0.008    0.000    1.287    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    1.273    1.273 DECA.py:3195(_reconfigure)
        1    0.000    0.000    1.273    1.273 DECA.py:2749(_reconfigure)
        2    0.000    0.000    1.260    0.630 DECA.py:2786(_init_deep_losses)
        1    0.000    0.000    1.259    1.259 DecaLosses.py:462(__init__)
        1    0.028    0.028    1.259    1.259 DecaLosses.py:423(__init__)
        1    0.000    0.000    1.230    1.230 vgg.py:438(vgg19)
        1    0.024    0.024    1.230    1.230 vgg.py:98(_vgg)
       16    0.001    0.000    1.203    0.075 DecaFLAME.py:285(forward)
       16    0.003    0.000    1.199    0.075 DecaFLAME.py:222(forward)
     2008    0.005    0.000    1.163    0.001 memory.py:109(empty_cache)
     2008    1.153    0.001    1.153    0.001 {built-in method torch._C._cuda_emptyCache}
   145920    0.255    0.000    1.140    0.000 PngImagePlugin.py:953(load_read)
        3    0.000    0.000    1.103    0.368 resnet.py:698(resnet50)
        3    0.001    0.000    1.103    0.368 resnet.py:288(_resnet)
    19573    1.092    0.000    1.092    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8810    0.028    0.000    1.085    0.000 fromnumeric.py:69(_wrapreduction)
     1006    0.012    0.000    1.077    0.001 imopen.py:15(imopen)
     1004    0.176    0.000    1.070    0.001 net_blazeface.py:303(_tensors_to_detections)
       16    0.003    0.000    1.041    0.065 lbs.py:142(lbs)
       16    0.001    0.000    1.021    0.064 <__array_function__ internals>:177(stack)
       16    0.001    0.000    1.019    0.064 shape_base.py:383(stack)
       16    0.980    0.061    0.992    0.062 lbs.py:326(batch_rigid_transform)
      414    0.002    0.000    0.966    0.002 conv.py:425(__init__)
      414    0.005    0.000    0.960    0.002 conv.py:67(__init__)
3521/3456    0.019    0.000    0.941    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
      414    0.002    0.000    0.916    0.002 conv.py:140(reset_parameters)
     1006    0.022    0.000    0.899    0.001 pillow.py:71(__init__)
       77    0.001    0.000    0.881    0.011 codegen.py:723(add_ir_module)
2131/2066    0.008    0.000    0.854    0.000 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        3    0.001    0.000    0.827    0.276 resnet.py:167(__init__)
     1004    0.802    0.001    0.818    0.001 net_blazeface.py:347(_decode_boxes)
